original_title,original_language,poster_path,language_name,vote_average
Jagal,id,/sp5B7Tz5ttsgOLnIlCP5uEhtesI.jpg,Indonesian,7.667
The Raid 2: Berandal,id,/mlGuKlIDLdPhYjz1QBXi0FmyYik.jpg,Indonesian,7.6
Serbuan Maut,id,/Abnm1Ws3JH0ReCfEhLMPwPcMcGO.jpg,Indonesian,7.4
The Shadow Strays,id,/cfkcrKySRyJiIdLo6c6kNSyLFh7.jpg,Indonesian,7.246
Penyalin Cahaya,id,/wjNNm0eZKNZ40Fqlc9QewDxy0by.jpg,Indonesian,6.973
The Night Comes for Us,id,/8lI1p5cPqgXN2qrKZrmI3mhKBfs.jpg,Indonesian,6.896
The Big 4,id,/gxtf1bovLDyd0dMcKXdwVyqVsuK.jpg,Indonesian,6.8
Perempuan Tanah Jahanam,id,/dku2KnAPALsi69MnvTV7cXrylWm.jpg,Indonesian,6.7
Pengabdi Setan,id,/ramNuzhkRjFPgikCt4SGfv8IgWN.jpg,Indonesian,6.7
Sri Asih,id,/wShcJSKMFg1Dy1yq7kEZuay6pLS.jpg,Indonesian,6.5
Merantau,id,/60Vd3zovl6XeRH8GQOsM9fwMHRO.jpg,Indonesian,6.498
Headshot,id,/dpdmO3PNKwCOzf68y8J4Gu19i3r.jpg,Indonesian,6.446
Sebelum Iblis Menjemput,id,/i3UqtKPPWmDX4514kWF8hluCbsk.jpg,Indonesian,6.3
Gundala,id,/wZCo5qUz3IdIhs6466B9PpFglXU.jpg,Indonesian,6.2
Sabrina,id,/zheAqvuUgk9L2ElLHgYo92WJIdO.jpg,Indonesian,5.4
Dead Mine,id,/qs1eHTW1VjYwEKN5vfGeyC4793U.jpg,Indonesian,4.72
Иди и смотри,ru,/qNbMsKVzigERgJUbwf8pKyZogpb.jpg,Russian,8.235
Огонь,ru,/wi7poYZy9b4CqmPMod0n1su8Quo.jpg,Russian,8.13
Пальма,ru,/rxc6ducVrgUWLat8WwUVLvr2GRR.jpg,Russian,8.13
Сталкер,ru,/npvwT8SxBPNqX7MAE9yYMuGCZcB.jpg,Russian,8.117
Баллада о солдате,ru,/9teeqzdIgPkWsykRapYkqhdefmm.jpg,Russian,8.01
Служебный роман,ru,/21TgZRiA5gDlyCwQEyYqZcqwMgN.jpg,Russian,8.0
Андрей Рублёв,ru,/910xRIUmNJrWH2hkQifBJtoPp5R.jpg,Russian,7.982
Зеркало,ru,/mw9azNlZKmZyPlEc57RzHk1ggaB.jpg,Russian,8.0
В бой идут одни старики,ru,/4TE8gM826e1OU62AErJ5LS4F1os.jpg,Russian,8.0
Дерсу Узала,ru,/bIOrDQ3Gg68k3qJAnRU7nIZr0BW.jpg,Russian,7.9
Афоня,ru,/rU76EYqDaMQbtlUWPcKOvJx7o8X.jpg,Russian,7.9
