,title,year,ids,images
0,Mickey 17,2025,540151,
1,Mickey 17,2025,mickey-17-2025,
2,Mickey 17,2025,tt12299608,
3,Mickey 17,2025,696506,
4,Mickey 17,2025,,['walter-r2.trakt.tv/images/movies/000/540/151/fanarts/medium/ce10ce3ae3.jpg.webp']
5,Mickey 17,2025,,['walter-r2.trakt.tv/images/movies/000/540/151/posters/thumb/748e123b39.jpg.webp']
6,Mickey 17,2025,,['walter-r2.trakt.tv/images/movies/000/540/151/logos/medium/00f8f58ef0.png.webp']
7,Mickey 17,2025,,[]
8,Mickey 17,2025,,[]
9,Mickey 17,2025,,['walter-r2.trakt.tv/images/movies/000/540/151/thumbs/medium/9ab559ade9.jpg.webp']
