title,year,ids.trakt,ids.slug,ids.imdb,ids.tmdb,watchers,certification,poster_url
Mickey 17,2025,540151,mickey-17-2025,tt12299608,696506,1657,R,https://walter-r2.trakt.tv/images/movies/000/540/151/posters/thumb/748e123b39.jpg.webp
A Minecraft Movie,2025,763995,a-minecraft-movie-2025,tt3566834,950387,1095,PG,https://walter-r2.trakt.tv/images/movies/000/763/995/posters/thumb/37c2ee9e9d.jpg.webp
Novocaine,2025,964679,novocaine-2025,tt29603959,1195506,877,R,https://walter-r2.trakt.tv/images/movies/000/964/679/posters/thumb/bd11e459ab.jpg.webp
A Working Man,2025,966319,a-working-man-2025,tt9150192,1197306,727,R,https://walter-r2.trakt.tv/images/movies/000/966/319/posters/thumb/e7aec3b005.jpg.webp
In the Lost Lands,2025,205119,in-the-lost-lands-2025,tt4419684,324544,691,R,https://walter-r2.trakt.tv/images/movies/000/205/119/posters/thumb/234c38e294.jpg.webp
Black Bag,2025,997729,black-bag-2025,tt30988739,1233575,679,R,https://walter-r2.trakt.tv/images/movies/000/997/729/posters/thumb/f935858c9f.jpg.webp
The Monkey,2025,904978,the-monkey-2025,tt27714946,1124620,314,R,https://walter-r2.trakt.tv/images/movies/000/904/978/posters/thumb/8c59f71b15.jpg.webp
The Life List,2025,1017204,the-life-list-2025,tt2172954,1254786,290,PG-13,https://walter-r2.trakt.tv/images/movies/001/017/204/posters/thumb/5e2b351fc4.jpg.webp
Captain America: Brave New World,2025,655031,captain-america-brave-new-world-2025,tt14513804,822119,267,PG-13,https://walter-r2.trakt.tv/images/movies/000/655/031/posters/thumb/9eadd9bc48.jpg.webp
Companion,2025,871757,companion-2025,tt26584495,1084199,229,R,https://walter-r2.trakt.tv/images/movies/000/871/757/posters/thumb/1355dc95a7.jpg.webp
The Gorge,2025,763780,the-gorge-2025,tt13654226,950396,205,PG-13,https://walter-r2.trakt.tv/images/movies/000/763/780/posters/thumb/93b62a8f24.jpg.webp
Cleaner,2025,905958,cleaner-2025,tt27812086,1125899,198,R,https://walter-r2.trakt.tv/images/movies/000/905/958/posters/thumb/10820ed9ff.jpg.webp
The Electric State,2025,614652,the-electric-state-2025,tt7766378,777443,195,PG-13,https://walter-r2.trakt.tv/images/movies/000/614/652/posters/thumb/964585bb84.jpg.webp
Last Breath,2025,781338,last-breath-2025,tt14403504,972533,186,PG-13,https://walter-r2.trakt.tv/images/movies/000/781/338/posters/thumb/6ea9284764.jpg.webp
Deadpool,2016,190430,deadpool-2016,tt1431045,293660,171,R,https://walter-r2.trakt.tv/images/movies/000/190/430/posters/thumb/341427aaa0.jpg.webp
Heretic,2024,916302,heretic-2024,tt28015403,1138194,167,R,https://walter-r2.trakt.tv/images/movies/000/916/302/posters/thumb/8626a5dc77.jpg.webp
Moana 2,2024,1005024,moana-2-2024,tt13622970,1241982,162,PG,https://walter-r2.trakt.tv/images/movies/001/005/024/posters/thumb/df8aab0a4d.jpg.webp
Interstellar,2014,102156,interstellar-2014,tt0816692,157336,159,PG-13,https://walter-r2.trakt.tv/images/movies/000/102/156/posters/thumb/7fcf530e15.jpg.webp
825 Forest Road,2025,1043205,825-forest-road-2025,tt15173952,1282980,159,N/A,https://walter-r2.trakt.tv/images/movies/001/043/205/posters/thumb/549319ed65.jpg.webp
Holland,2025,156893,holland-2025,tt3045628,257094,155,R,https://walter-r2.trakt.tv/images/movies/000/156/893/posters/thumb/3acefe889e.jpg.webp
Guardians of the Galaxy,2014,82405,guardians-of-the-galaxy-2014,tt2015381,118340,152,PG-13,https://walter-r2.trakt.tv/images/movies/000/082/405/posters/thumb/053b97aea3.jpg.webp
The Dark Knight,2008,120,the-dark-knight-2008,tt0468569,155,144,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/120/posters/thumb/8369bf0d4a.jpg.webp
Avengers: Infinity War,2018,191797,avengers-infinity-war-2018,tt4154756,299536,133,PG-13,https://walter-r2.trakt.tv/images/movies/000/191/797/posters/thumb/f593432c60.jpg.webp
Avengers: Endgame,2019,191798,avengers-endgame-2019,tt4154796,299534,132,PG-13,https://walter-r2.trakt.tv/images/movies/000/191/798/posters/thumb/1700e93125.jpg.webp
The Avengers,2012,14701,the-avengers-2012,tt0848228,24428,131,PG-13,https://walter-r2.trakt.tv/images/movies/000/014/701/posters/thumb/edad761a8a.jpg.webp
Mufasa: The Lion King,2024,600937,mufasa-the-lion-king-2024,tt13186482,762509,130,PG,https://walter-r2.trakt.tv/images/movies/000/600/937/posters/thumb/efa100e081.jpg.webp
Carjackers,2025,994270,carjackers-2025,tt35683795,1229730,121,N/A,https://walter-r2.trakt.tv/images/movies/000/994/270/posters/thumb/629642609d.jpg.webp
Anora,2024,856080,anora-2024,tt28607951,1064213,120,R,https://walter-r2.trakt.tv/images/movies/000/856/080/posters/thumb/6c9c616b9e.jpg.webp
Deadpool & Wolverine,2024,395672,deadpool-wolverine-2024,tt6263850,533535,117,R,https://walter-r2.trakt.tv/images/movies/000/395/672/posters/thumb/6dd2e7b140.jpg.webp
Inception,2010,16662,inception-2010,tt1375666,27205,116,PG-13,https://walter-r2.trakt.tv/images/movies/000/016/662/posters/thumb/d961c8577b.jpg.webp
Opus,2025,970418,opus-2025,tt29929565,1202479,113,R,https://walter-r2.trakt.tv/images/movies/000/970/418/posters/thumb/469ae053fe.jpg.webp
Doctor Strange,2016,181311,doctor-strange-2016,tt1211837,284052,112,PG-13,https://walter-r2.trakt.tv/images/movies/000/181/311/posters/thumb/022cd5dad1.jpg.webp
Wicked,2024,290190,wicked-2024,tt1262426,402431,108,PG,https://walter-r2.trakt.tv/images/movies/000/290/190/posters/thumb/c5019e18bd.jpg.webp
Iron Man,2008,1157,iron-man-2008,tt0371746,1726,106,PG-13,https://walter-r2.trakt.tv/images/movies/000/001/157/posters/thumb/b0158ecb11.jpg.webp
Flight Risk,2025,905982,flight-risk-2025,tt10078772,1126166,106,R,https://walter-r2.trakt.tv/images/movies/000/905/982/posters/thumb/8a52ff15d3.jpg.webp
Sonic the Hedgehog 3,2024,753684,sonic-the-hedgehog-3-2024,tt18259086,939243,105,PG,https://walter-r2.trakt.tv/images/movies/000/753/684/posters/thumb/82dcda0407.jpg.webp
